Country             Rider               Classification      Time (hh:mm:ss)     
Netherlands         VANBAARLE           59                  90:27:47            
Netherlands         DUMOULIN            7                   87:27:53            
Netherlands         POELS               110                 92:07:28            
Netherlands         GESINK              42                  89:50:40            
Netherlands         BOL                 140                 92:58:21            
Netherlands         NIEUWENHUIS         103                 91:58:55            
NewZealand          BAUER               83                  91:20:39            
NewZealand          BENNETT             34                  89:35:54            
Norway              KRISTOFF            132                 92:48:33            
Norway              BOASSONHAGEN        101                 91:54:24            
Norway              LAENGDEN            82                  91:13:22            
Norway              JANSEN              128                 92:37:33            
Poland              KWIATKOWSKI         30                  89:26:37            
Portugal            OLIVEIRA            55                  90:21:46            
Russia              SIVAKOV             87                  91:35:43            
Slovakia            SAGAN               84                  91:24:20            
Slovenia            ROGLIC              2                   87:21:04            
Slovenia            POGACAR             1                   87:20:05            
Slovenia            POLANC              40                  89:49:59            
Slovenia            MEZGEC              88                  91:37:12            
Slovenia            MOHORIC             76                  91:09:07            
SouthAfrica         IMPEY               97                  91:48:44            
SouthAfrica         GIBBONS             121                 92:29:37            
Spain               IZAGUIRRE-INSAUSTI  22                  88:56:17            
Spain               ROJAS               70                  91:00:54            
Spain               BILBAO              16                  88:16:01            
Spain               DELACRUZ            72                  91:01:25            
Spain               FRAILE              60                  90:33:46            
Spain               ERVITI              74                  91:08:05            
Spain               SANCHEZ             32                  89:33:52            
Spain               VALVERDE            12                  87:37:46            
Spain               LANDA               4                   87:26:03            
Spain               VERONA              19                  88:39:59            
Spain               HERRADA             44                  89:54:55            
Spain               MAS                 5                   87:26:12            
Spain               SOLER               21                  88:51:58            
Switzerland         SCHAR               69                  90:59:00            
Switzerland         HIRSCHI             54                  90:14:39            
Switzerland         REICHENBACH         24                  88:59:32            
USA                 VANGARDEREN         91                  91:42:25            
USA                 KUSS                15                  88:02:25            
USA                 POWLESS             56                  90:23:14            
